Song,Instrument,Level,No. of Notes,No. Different Note Values,Used Lengths (in quarter length),No. of Notes of Length,No. of Notes on First Beat,No. of Notes on Weaker Beats,No. of Notes on Off Beat,Total Lengths Used,Average Note Length,Percentage of Notes on First Beat,Percentage of Notes on Weaker Beats,Percentage of Notes on Off Beat, ,Key Signature,No. Naturals,No. Accidentals,No. Chords,Total No. of Pitches Used,No. of Octaves Used,Pitch,No. Instances of Pitch,No. of pitch with Semibreve Length,No. of pitch with Minim Length,No. of pitch with Crotchet Length,No. of pitch with Other Length,Pitch with Octave ,No. Instances of Pitch.1,No. of pitch with Semibreve Length.1,No. of pitch with Minim Length.1,No. of pitch with Crotchet Length.1,No. of pitch with Other Length.1,No. Pitch Duration Combos,Intervals Under Third,Intervals Between Third and Fifth,Intervals Between Fifth and Octave,Intervals Over Octave,Average Interval,Maximum Interval, .1,Time Signature,Total No. Bars,No. Bars Rest,No. Bars Play,Percentage of bars that are rest,Longest Section of Rest,Section Type,No. Bars of Section Type, .2,Length of Repeat Fragment,Fragment Start Bar,Where Else Repeated,Consecutive Repeats,Length of Repeat Fragment.1,Fragment Start Bar.1,Where Else Repeated.1,Consecutive Repeats.1,Length of Repeat Fragment.2,Fragment Start Bar.2,Where Else Repeated.2,Consecutive Repeats.2,Total number of 2 bar repeated fragments,Total number of 4 bar repeated fragments,Total number of 8 bar repeated fragments,Overall Total number of repeated fragments,Total 2 bar consec. repeats,Total 4 bar consec. repeats,Total 8 bar consec. repeats,Overall Total consec. repeats, .3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,G#2,30.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,G#3,3.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,G#4,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,string synth,2.0,156.0,6.0,1.5,1.0,1.0,0.0,0.0,6.0,3.871794871794872,96.79487179487178,1.282051282051282,1.282051282051282,,3 sharps,143.0,115.0,102.0,17.0,3.0,['A'],47.0,45.0,1.0,0.0,0.0,A3,3.0,3.0,0.0,0.0,0.0,24.0,43.0,6.0,1.0,0.0,3.44,11.0,,4/4,162.0,11.0,151.0,6.0,6.0,Rest,6.0,,2.0,43.0,"[47, 71, 75, 127, 131, 139, 143, 151]",0.0,4.0,25.0,"[29, 53, 57, 109, 113]",3.0,8.0,37.0,"[65, 121, 133]",0.0,53.0,24.0,13.0,90.0,0.0,3.0,1.0,4.0,
,,,,,0.5,1.0,0.0,0.0,0.0,,,,,,,,,,,,,"['A#', 'Bb']",0.0,0.0,0.0,0.0,0.0,A4,42.0,40.0,1.0,0.0,1.0,,,,,,,,,,,,,,,Play,74.0,,2.0,38.0,"[66, 122, 134, 146, 154, 158]",0.0,4.0,45.0,"[73, 129, 141, 149]",0.0,8.0,129.0,"[141, 149]",1.0,,,,,,,,,
,,,,,2.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,"['B', 'Cb']",32.0,32.0,0.0,0.0,0.0,A5,2.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Rest,2.0,,2.0,49.0,"[50, 51, 77, 78, 79, 91]",0.0,4.0,39.0,"[67, 123, 135]",0.0,8.0,13.0,[97],0.0,,,,,,,,,
,,,,,4.0,148.0,148.0,0.0,0.0,,,,,,,,,,,,,"['B#', 'C']",0.0,0.0,0.0,0.0,0.0,B3,8.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Play,10.0,,2.0,26.0,"[30, 54, 58, 110, 114]",0.0,4.0,28.0,"[56, 112]",0.0,8.0,42.0,[70],0.0,,,,,,,,,
,,,,,1.0,3.0,1.0,0.0,2.0,,,,,,,,,,,,,"['C#', 'Db']",40.0,36.0,1.0,2.0,0.0,B4,22.0,22.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Rest,2.0,,2.0,40.0,"[68, 124, 136, 148, 156]",0.0,4.0,32.0,"[60, 116]",0.0,8.0,126.0,[138],0.0,,,,,,,,,
,,,,,3.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,['D'],17.0,17.0,0.0,0.0,0.0,B5,2.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Play,67.0,,2.0,9.0,"[10, 11, 12]",0.0,4.0,130.0,"[142, 150]",0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"['D#', 'Eb']",0.0,0.0,0.0,0.0,0.0,C#4,11.0,8.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,2.0,41.0,"[69, 125, 137]",0.0,,,,,,,,,,,,,,,,,
